"logFC","AveExpr","t","P.Value","adj.P.Val","B","ID_REF"
3.78085497620981,6.38530588928383,148.226174795135,0,0,3742.44529090935,"MIMAT0000062"
3.42975930235467,6.27649652759691,146.094278564927,0,0,3692.83977726823,"MIMAT0000063"
3.12284923465159,4.70826892016343,92.5126139913575,0,0,2283.865587265,"MIMAT0000079"
3.82861949289324,3.63829840223657,88.4594596468245,0,0,2163.09608826894,"MIMAT0000087"
5.04123146756451,4.75503644109179,86.0598109438019,0,0,2090.7434888594,"MIMAT0000091"
3.0280364025721,3.51848223070995,85.2829933470457,0,0,2067.19125175401,"MIMAT0000093"
3.39092795507865,3.46804104324434,84.18295830061,0,0,2033.5447036172,"MIMAT0000096"
3.3740561126084,4.1685069226694,83.8381202546374,0,0,2022.65820629099,"MIMAT0000097"
4.84210748026459,8.10585391168425,82.8921665868367,0,0,1994.13742331178,"MIMAT0000100"
3.64802804603942,4.15974883505673,80.9888416029526,0,0,1935.73743052493,"MIMAT0000102"
3.38989983458708,3.13542740599129,79.3881580102732,0,0,1886.20034981978,"MIMAT0000227"
3.35737291346019,3.23902069018257,78.932473088614,0,0,1871.61414911818,"MIMAT0000231"
3.12489122616811,8.21912785540945,78.2363916116406,0,0,1850.8651984881,"MIMAT0000244"
3.55401970153666,4.09626077237525,76.5329382051772,0,0,1797.30337063438,"MIMAT0000255"
3.40137630907188,3.94370475359497,73.4439883891531,0,0,1700.93466485993,"MIMAT0000281"
3.42003356699794,3.58469058125193,72.2085943436477,0,0,1662.15750005648,"MIMAT0000426"
3.10624943344689,3.23956377637783,72.0018143164503,0,0,1655.39296272526,"MIMAT0000431"
3.0219817553811,3.47504654432944,71.7680778376911,0,0,1648.57197369897,"MIMAT0000437"
3.22920946055317,3.30182891770622,70.1756955614907,0,0,1598.53813986843,"MIMAT0000685"
3.38983903147856,5.87077865670035,69.1993164150653,0,0,1567.48009749243,"MIMAT0000735"
3.24054112960575,3.27582053612444,65.6432183100574,0,0,1454.98962191518,"MIMAT0005905"
3.62406394475125,5.16289790534769,64.2073332837163,0,0,1409.49045960372,"MIMAT0019699"
3.92587712372889,4.22390542106547,57.5065124995198,0,0,1197.30600814604,"MIMAT0022487"
3.4974996320633,3.84102644640871,56.0656928968931,0,0,1152.12493022137,"MIMAT0022724"
